title,author name,type,rating,price
The Psychology of Money,Morgan Housel,Paperback,4.6 out of 5 stars,252.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Mass Market Paperback,4.6 out of 5 stars,296.00
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,Audible Audiobook,4.6 out of 5 stars,668.00
A Beginner's Guide to the Stock Market,Matthew R. Kratter,Kindle Edition,4.4 out of 5 stars,209.00
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,Paperback,4.7 out of 5 stars,150.00
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,Audible Audiobook,4.4 out of 5 stars,837.00
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,Paperback,4.6 out of 5 stars,139.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,Paperback,4.5 out of 5 stars,480.00
The Richest Man in Babylon,George S. Clason,Paperback,4.5 out of 5 stars,90.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,Paperback,4.5 out of 5 stars,227.00
The High-Performance Entrepreneur,Subroto Bagchi,Paperback,4.4 out of 5 stars,270.00
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,Paperback,4.5 out of 5 stars,267.00
The Compound Effect,Darren Hardy,Paperback,4.6 out of 5 stars,175.00
Mindset: Changing The Way You think To Fulfil Your Potential,Carol Dweck,Paperback,4.6 out of 5 stars,279.00
The Power of A Positive Attitude: Your Road To Success,Roger Fritz,Paperback,4.4 out of 5 stars,82.00
Think & Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill,Paperback,4.5 out of 5 stars,99.00
Dhan-Sampatti Ka Manovigyan (The Psychology of Money - Hindi) Paperback – 25 June 2021,Morgan Housel,Paperback,4.3 out of 5 stars,120.00
Time Management (Hindi),Sudhir Dixit,Paperback,4.4 out of 5 stars,79.00
"My Life in Full: Work, Family, and Our Future (With a special Epilogue for India)",Indra K. Nooyi,Hardcover,4.6 out of 5 stars,450.00
THE PSYCHOLOGY OF MONEY (DELUXE EDITION),Morgan Housel,Hardcover,4.6 out of 5 stars,370.00
The Psychology of Money,Morgan Housel,Kindle Edition,4.6 out of 5 stars,254.60
To-Do List Formula: A Stress-Free Guide To Creating To-Do Lists That Work!,Damon Zahariades,Kindle Edition,4.4 out of 5 stars,240.00
"How to Day Trade for a Living: A Beginner's Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology",Andrew Aziz,Kindle Edition,4.3 out of 5 stars,99.00
"Price Action Trading: A Simple Stock Market Trading Book for Beginners Applicable to Intraday Trading, Swing Trading, & Positional Trading",Indrazith Shantharaj,Kindle Edition,4.3 out of 5 stars,99.00
Coffee Can Investing: The Low Risk Road to Stupendous Wealth,Saurabh Mukherjea,Hardcover,4.5 out of 5 stars,345.82
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,Paperback,4.3 out of 5 stars,250.00
How to Make Money Trading with Candlestick Charts,Balkrishna M Sadekar,Paperback,4.3 out of 5 stars,319.00
Start With Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,Simon Sinek,Paperback,4.5 out of 5 stars,325.00
The Intelligent Investor Rev Ed.,Benjamin Graham,Audible Audiobook,4.5 out of 5 stars,"2,082.00"
"The Power of Your Subconscious Mind (PREMIUM PAPERBACK, PENGUIN INDIA): A personal transformation and development book, understanding human psychology and thinking by Dr Joseph Murphy",Dr Joseph Murphy,Paperback,4.5 out of 5 stars,98.00
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,Paperback,4.6 out of 5 stars,527.00
"Zero to One: Notes on Start Ups, or How to Build the Future",Peter Thiel,Paperback,4.5 out of 5 stars,379.00
Hyperfocus,Chris Bailey,Audible Audiobook,4.3 out of 5 stars,323.00
Zero to One,Peter Thiel,Audible Audiobook,4.5 out of 5 stars,615.00
The Communist Manifesto,Karl Marx,Paperback,4.5 out of 5 stars,70.00
"Thinking, Fast and Slow",Daniel Kahneman,Audible Audiobook,4.5 out of 5 stars,957.00
Zero to Billions - The Zerodha Story: An inspiring story on how a startup disrupted the Indian Stock Market (Indian Unicorns),ABHISH  B,Kindle Edition,4.4 out of 5 stars,49.00
Rosemary Crill,Rosemary Crill,Hardcover,-,
"The Subtle Art of Intraday Trading: A Handbook on How to Bank on Trading Psychology, Options Strategies and Make a Living out of Indian Stock Market even as Beginners",Indrazith Shantharaj,Kindle Edition,4.6 out of 5 stars,29.00
Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series Book 1),thibaut  meurisse,Kindle Edition,4.5 out of 5 stars,79.00
Babylon Ka Sabse Ameer Aadami (The Richest Man in Babylon in Hindi): Hindi Translation of International Bestseller,George S. Clason,Paperback,4.6 out of 5 stars,99.00
Diamonds in the Dust: Consistent Compounding for Extraordinary Wealth Creation: Consistent Compounding for Extraordinary Wealth Creation | Essential ... Stocks Investing | Penguin Non-fiction Books,Saurabh Mukherjea,Hardcover,4.5 out of 5 stars,215.00
Secrets of a Pivot Boss: Revealing Proven Methods for Profiting in the Market,Frank O Ochoa,Paperback,4.3 out of 5 stars,400.00
How to Win Friends and Influence People,Dale Carnegie,Paperback,4.5 out of 5 stars,84.93
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,Paperback,4.6 out of 5 stars,397.00
World's Greatest Entrepreneurs: Biographies of Inspirational Personalities For Kids,Wonder House Books,Paperback,4.4 out of 5 stars,99.00
The Art of Thinking Clearly,Rolf Dobelli,Hardcover,4.4 out of 5 stars,282.00
Think and Grow Rich,Napoleon Hill,Paperback,4.5 out of 5 stars,131.00
Option Chain Analysis: The CT Scan of Derivative Market,Rajiv L B Roy,Kindle Edition,4.2 out of 5 stars,229.00
The Intelligent Investor (Hindi),Benjamin Graham,Paperback,4.3 out of 5 stars,395.00
