title,author name,type,rating,price
Cracking the Coding Interview (Indian Edition),Gayle Laakmann McDowell,Paperback,4.6 out of 5 stars,569.00
Hooked: How to Build Habit-Forming Products,Nir Eyal,Hardcover,4.6 out of 5 stars,449.00
Introduction to Algorithms (Eastern Economy Edition),Thomas H. Cormen,Paperback,4.4 out of 5 stars,340.00
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,Paperback,4.7 out of 5 stars,"1,600.00"
CareerCup Cracking The Pm Interview: How To Land A Product Manager Job In Technology,Gayle Laakmann McDowell,Paperback,4.5 out of 5 stars,399.00
The Lean Startup: How Constant Innovation Creates Radically Successful Businesses,Eric Ries,Paperback,4.5 out of 5 stars,573.00
"Core Java: An Integrated Approach, New: Includes All Versions upto Java 8",R. Nageswara Rao,Paperback,4.5 out of 5 stars,491.00
The Personal MBA: A World-Class Business Education in a Single Volume,Josh Kaufman,Paperback,4.5 out of 5 stars,467.00
System Design Interview – An Insider's Guide,Alex Xu,Kindle Edition,4.4 out of 5 stars,850.00
The Cold Start Problem: Using Network Effects to Scale Your Product,Andrew Chen,Paperback,4.5 out of 5 stars,559.00
Data Structures And Algorithms Made Easy: Data Structures And Algorithmic Puzzles,Narasimha Karumanchi,Paperback,4.4 out of 5 stars,530.00
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,Paperback,4.5 out of 5 stars,334.00
Investonomy: The Stock Market Guide That Makes You Rich,Pranjal Kamra,Paperback,4.3 out of 5 stars,206.00
Introducing Artificial Intelligence: A Graphic Guide (Graphic Guides),Henry Brighton,Kindle Edition,4.1 out of 5 stars,174.91
Cracking the Coding Interview: 189 Programming Questions and Solutions,Gayle Laakmann McDowell,Paperback,4.4 out of 5 stars,"1,260.00"
Harish Mehta,Harish Mehta,Hardcover,-,699.00
Python Programming: Using Problem Solving Approach,Reema Thareja,Paperback,4.5 out of 5 stars,400.00
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,Paperback,4.4 out of 5 stars,629.00
How to Win an Indian Election: What Political Parties Don't Want You to Know,Shivam Shankar Singh,Paperback,4.3 out of 5 stars,209.00
"Hands-On Machine Learning with Scikit-Learn, Keras and Tensor Flow: Concepts, Tools and Techniques to Build Intelligent Systems (Colour Edition)",Aurelien Geron,Paperback,4.7 out of 5 stars,"2,475.00"
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,Paperback,4.5 out of 5 stars,365.00
"Blockchain Bubble or Revolution: The Future of Bitcoin, Blockchains, and Cryptocurrencies",Neel Mehta,Kindle Edition,4.6 out of 5 stars,29.00
Harper Collins India The Most Important Thing: Uncommon Sense for The Thoughtful Investor,Howard Marks,Paperback,4.6 out of 5 stars,278.00
MËMËS: 2022 FRESH DÄNKS,Robin Bradley,Kindle Edition,5.0 out of 5 stars,380.00
"Head First Design Patterns: Building Extensible and Maintainable Object-Oriented Software, Second Edition (Grayscale Indian Edition)",Eric Freeman,Paperback,4.7 out of 5 stars,"1,475.00"
The Art Of Conjuring Alternate Realities: How Information Warfare Shapes Your World,Shivam Shankar Singh,Hardcover,4.5 out of 5 stars,376.00
C In Depth,S.K.Srivastava/Deepali Srivastava,Paperback,4.5 out of 5 stars,360.00
"Mastering Html, Css & Javascript Web Publishing",Laura Lemay,Paperback,4.2 out of 5 stars,406.00
"Get Coding! Learn HTML, CSS, and JavaScript and Build a Website, App, and Game",Young Rewired State,Paperback,4.5 out of 5 stars,488.00
Hit Refresh : A Memoir by Microsoft’s CEO,Satya Nadella,Paperback,4.5 out of 5 stars,299.00
AWS Certified Solutions Architect Associate Practice Tests 2022 [SAA-C02]: 390 AWS Practice Exam Questions with Answers & detailed Explanations,Neal Davis,Kindle Edition,4.8 out of 5 stars,449.00
"Building Microservices: Designing Fine-Grained Systems, Second Edition (Grayscale Indian Edition)",Sam Newman,Paperback,4.9 out of 5 stars,"1,600.00"
An Introduction to Statistical Learning: with Applications in R (Springer Texts in Statistics),Gareth James,Hardcover,4.7 out of 5 stars,573.00
Clean Architecture: A Craftsman's Guide to Software Structure and Design,MARTIN,Paperback,4.7 out of 5 stars,"1,199.00"
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,Audible Audiobook,4.7 out of 5 stars,"1,675.00"
