title,author name,type,rating,price
It Ends With Us: A Novel: Volume 1,Colleen Hoover,Paperback,4.6 out of 5 stars,210.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",Alex Michaelides,Paperback,4.5 out of 5 stars,258.00
The Girl Who Lived: A Thrilling Suspense Novel,Christopher Greyson,Kindle Edition,4.3 out of 5 stars,449.00
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,Paperback,4.5 out of 5 stars,139.00
400 Days,Chetan Bhagat,Paperback,4.4 out of 5 stars,135.00
ஓநாயும் ஆட்டுக்குட்டியும் (Tamil Edition),SANAGEETH NOVELS,Kindle Edition,4.1 out of 5 stars,150.00
400 Days,Chetan Bhagat,Kindle Edition,4.4 out of 5 stars,103.55
We Begin at the End: Crime Novel of the Year Award Winner 2021,Chris Whitaker,Kindle Edition,4.4 out of 5 stars,359.35
That Night: Four Friends. Twenty Years. One Haunting Secret.,Nidhi Upadhyay,Paperback,4.3 out of 5 stars,165.00
One Arranged Murder,Chetan Bhagat,Paperback,4.4 out of 5 stars,146.00
And Then There Were None: The World’s Favourite Agatha Christie Book: The World’s Favourite Agatha Christie Book,Agatha Christie,Paperback,4.6 out of 5 stars,172.00
A Mussoorie Mystery,Ruskin Bond,Kindle Edition,4.1 out of 5 stars,133.00
"Anxious People: The No. 1 New York Times bestseller, now a Netflix TV Series",Fredrik Backman,Paperback,4.6 out of 5 stars,349.00
"Bose: The Untold Story of an Inconvenient Nationalist | Subhas Chandra Bose Biography | Penguin Books, Indian History",Chandrachur Ghose,Hardcover,4.9 out of 5 stars,542.00
One Arranged Murder,Chetan Bhagat,Kindle Edition,4.4 out of 5 stars,99.75
Murder on the Orient Express (Poirot),Agatha Christie,Paperback,4.6 out of 5 stars,175.00
The Good Girl's Guide to Murder: Book 1 (A Good Girl’s Guide to Murder): TikTok made me buy it! The first book in the bestselling thriller trilogy (A Good Girl’s Guide to Murder),Holly Jackson,Paperback,4.6 out of 5 stars,340.00
அனல் தீண்டிய ஆருயிரே..! (Tamil Edition),Aruna  V,Kindle Edition,4.3 out of 5 stars,420.00
The Girl in Room 105,Chetan Bhagat,Paperback,4.4 out of 5 stars,115.00
The Murder of Roger Ackroyd (Poirot),Agatha Christie,Paperback,4.6 out of 5 stars,205.00
Verity: The thriller that will capture your heart and blow your mind,Colleen Hoover,Paperback,4.5 out of 5 stars,344.00
The Holiday: NOW A MAJOR TV DRAMA,T.M. Logan,Kindle Edition,4.3 out of 5 stars,256.50
The Sweetest Oblivion (Made Book 1),Danielle Lori,Kindle Edition,4.5 out of 5 stars,296.00
The Girl in the Glass Case: Keep your girls safe. Boys safer.,Devashish Sardana,Paperback,4.5 out of 5 stars,172.00
The Girl in Room 105,Chetan Bhagat,Kindle Edition,4.4 out of 5 stars,59.85
The Perfect Murder (Hindi Edition),santosh pathak,Kindle Edition,4.5 out of 5 stars,99.00
Empire of Sin: An Enemies to Lovers Romance,Rina Kent,Kindle Edition,4.5 out of 5 stars,378.00
