title,author name,type,rating,price
SSCE JE CIVIL ENGINEERING 2022 PREVIOUS YEAR TOPICWISE OBJECTIVE DETAILED SOLUTION WITH THEORY(2004-2020),IES MASTER PUBLICATION TEAM,Paperback,4.4 out of 5 stars,550.00
Civil Engineering Through Objective Type Questions 3Ed (Revised And Enlarged) (Pb 2019),Gupta S. P.,Paperback,4.3 out of 5 stars,276.00
Objective Electrical Technology (2018-19 Session),V.K Mehta,Paperback,4.3 out of 5 stars,440.00
"Introduction to Electrodynamics, 4th Edition (South Asia Edition)",David J. Griffiths,Paperback,4.6 out of 5 stars,565.00
"Solid, Liquid and Hazardous Waste Management",C.K. Sharma,Paperback,3.2 out of 5 stars,395.00
Modern Periodic Table Chart (Size 70 X 100 Cms) English Laminated both sides with double side tape,Indian Book Depot,Wall Chart,4.5 out of 5 stars,220.00
Design Data: Data Book of Engineers by PSG College-Kalaikathir Achchagam - Coimbatore,Coimbtore PSG,Paperback,4.2 out of 5 stars,444.00
Perspectives in Environmental Studies (MULTI COLOUR EDITION),Anubha Kaushik,Paperback,4.8 out of 5 stars,290.00
Howkins & Bourne Shaw's Textbook Of Gynaecology,Padubidri,Paperback,4.6 out of 5 stars,850.00
Steam Tables (With Mollier Diagrams In S.I. Units),R.S Khurmi,Paperback,4.4 out of 5 stars,60.00
Conventional & Objective Type Questions & Answers On Mechanical Engineering For Competitions,R.K. Jain ,Paperback,4.2 out of 5 stars,669.00
Reinforced Concrete Design | 4th Edition,S Unnikrishna Pillai,Paperback,4.7 out of 5 stars,730.00
Principles of Electromagnetics: Sixth Edition,Matthew N.O. Sadiku,Paperback,4.5 out of 5 stars,300.00
Concise Inorganic Chemistry: Fifth Edition by J.D. Lee,J.D. Lee,Paperback,4.4 out of 5 stars,707.00
A Textbook Of Electrical Technology: Vol 2 Ac And Dc Machines: Ac And Dc Machines - Vol. 2,B L Theraja,Paperback,4.3 out of 5 stars,215.00
Refrigerant Tables And Charts Including Air Conditioning Data (Multicolour Edition),C P Kothandaraman,Paperback,4.2 out of 5 stars,139.00
Fundamentals of Molecular Spectroscopy | 4th Edition,Banwell,Paperback,4.5 out of 5 stars,364.00
Estimating and Costing in Civil Engineering (Theory and Practice) - 28/Revised Edition,BN Dutta,Paperback,4.2 out of 5 stars,500.00
A Guidebook to Mechanism in Organic Chemistry for the JEE,Peter Sykes,Paperback,4.4 out of 5 stars,363.00
Textbook Of Community Health Nursing Ii For Bsc Nursing (Pb 2020),MANIVANNAN S.D,Paperback,4.5 out of 5 stars,369.00
Thomas' Calculus | Fourtheenth Edition | By Pearson,George B. Thomas,Paperback,4.6 out of 5 stars,806.00
The Alignment Problem: How Can Machines Learn Human Values?,Brian Christian,Paperback,4.4 out of 5 stars,503.00
Fundamentals of Digital Circuits,Kumar A. Anand,Paperback,4.4 out of 5 stars,205.00
AICTE Recommended| Introduction to Environmental Engineering and Science| By Pearson,Masters,Paperback,4.4 out of 5 stars,649.00
Microelectronic Circuits: Theory And Applications: Seventh Edition,Adel S. Sedra,Paperback,4.5 out of 5 stars,600.00
A TEXTBOOK OF FLUID MECHANICS AND HYDRAULIC MACHINES,R.K. Bansal,Paperback,4.5 out of 5 stars,450.00
Rashid khan,Rashid khan,Paperback,-,299.00
Practical Boiler Operation Engineering & Power,Mallick Amiya Ranjan,Paperback,4.4 out of 5 stars,600.00
AICTE Recommended| Fundamentals of Database Systems| By Pearson,Elmasri Ramez,Paperback,4.4 out of 5 stars,761.00
CIVIL ENGINEERING THROUGH OBJECTIVE TYPE QUESTIONS 3ED (REVISED AND ENLARGED) IN HINDI (PB 2020),GUPTA S.P.,Paperback,3.9 out of 5 stars,295.00
Basic Electrical Engineering,V.K Mehta,Paperback,4.3 out of 5 stars,523.00
Circuit Theory Analysis And Synthesis,Abhijit Chakrabarti,Paperback,4.4 out of 5 stars,565.00
Organic Chemistry | Seventh Edition | By Pearson,Morrison   Boyd & Bhattacharjee,Paperback,4.4 out of 5 stars,692.00
BUILDING CONSTRUCTION,B.C. Punmia,Paperback,4.3 out of 5 stars,350.00
Structures: Or Why Things Don't Fall Down,J. E. Gordon,Paperback,4.6 out of 5 stars,772.81
Internal Combustion Engines | 4th Edition,V Ganesan,Paperback,4.5 out of 5 stars,260.00
Design of Machine Elements | Fifth Edition,V B Bhandari,Paperback,4.5 out of 5 stars,783.00
Introduction to Physical Metallurgy,Sidney Avner,Paperback,4.6 out of 5 stars,140.00
IMU-CET Exam Full Package,LearnX,Paperback,4.1 out of 5 stars,749.00
Semiconductor Physics and Devices- Basic Principles | 4th Edition,Donald A. Neamen,Paperback,4.9 out of 5 stars,720.00
B. Arch. NATA/JEE (Main) Offline Drawing Test Guide,Nimish Madan,Paperback,4.3 out of 5 stars,213.00
Water Resources Engineering Irrigation Engineering & Hydraulic Structures - Vol.2,Santosh Kumar Garg,Paperback,4.3 out of 5 stars,400.00
Millman's Integrated Electronics - Analog and Digital Circuit and Systems | 2nd Edition,Jacob Millman,Paperback,4.3 out of 5 stars,195.00
A Guidebook to Mechanism in Organic Chemistry,Peter Sykes,Paperback,4.5 out of 5 stars,240.00
Real Estate Guide,Kishor Hapaliya,Hardcover,5.0 out of 5 stars,"1,000.00"
Surveying and Levelling | 2nd Edition,N N Basak,Paperback,4.5 out of 5 stars,435.00
