title,author name,type,rating,price
Word Power Made Easy,Norman Lewis,Paperback,4.4 out of 5 stars,98.00
27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition,Mrunal Patel,Paperback,4.5 out of 5 stars,274.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,Paperback,4.4 out of 5 stars,430.00
"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,Paperback,4.6 out of 5 stars,514.00
A Modern Approach To Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,Paperback,4.4 out of 5 stars,550.00
General Knowledge,Dr. Binay Karna,Paperback,4.4 out of 5 stars,175.05
Manorama English Yearbook 2022,Mammen Mathew,Hardcover,4.6 out of 5 stars,229.00
"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,Paperback,4.2 out of 5 stars,189.00
Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,M Laxmikanth,Paperback,4.4 out of 5 stars,694.00
Navdeep Kaur,Navdeep Kaur,Paperback,5.0 out of 5 stars,
"India & World Map ( Both Political & Physical ) with Constitution of India Chart, History of India Chart & Geography Terms Chart | Set Of 7 | Useful for UPSC and other exams",Vidya Chitr Prakashan,Product Bundle,4.5 out of 5 stars,140.00
"MTG 34 Years NEET Previous Year Solved Question Papers with NEET Chapterwise Topicwise Solutions - NEET 2022 Preparation Books, Set of 3 Books NTA Neet 34 Years Questions, Physics Chemistry Biology",MTG Learning Media (P) Ltd.,Product Bundle,4.3 out of 5 stars,600.00
How to Crack Test Of Reasoning- REVISED EDITION,Jaikishan,Paperback,4.3 out of 5 stars,155.00
PMF IAS Environment for UPSC 2022 Civil Services Exam,PMF IAS,Paperback,4.7 out of 5 stars,499.00
"44 Years JEE Advanced (1978 - 2021) + JEE Main Chapterwise & Topicwise Solved Papers Physics, Chemistry & Mathematics 17th Edition",Disha Experts,Paperback,4.3 out of 5 stars,989.00
Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,Paperback,4.4 out of 5 stars,87.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,Paperback,4.5 out of 5 stars,280.05
"SSB Interview: The Complete Guide, Second Edition Paperback",Dr. N.K. Natarajan,Paperback,4.4 out of 5 stars,177.00
"MTG Objective NCERT at your FINGERTIPS - Chemistry, Best Books for NEET & JEE Preparation (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,Paperback,4.4 out of 5 stars,450.00
Objective General English,SP Bakshi,Paperback,4.3 out of 5 stars,169.00
Current Affairs Yearly 2022,Arihant Experts,Paperback,4.2 out of 5 stars,102.99
Fast Track Objective Arithmetic,Rajesh Verma,Paperback,4.4 out of 5 stars,283.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,Paperback,4.6 out of 5 stars,210.00
Pathfinder NDA/NA National Defence Academy & Naval Academy Entrance Examination,Arihant Experts,Paperback,4.4 out of 5 stars,433.00
Lucent's General Knowledge And Arihant General Knowledge 2022 - Set Of 2 Books,LUCENT,Paperback,4.1 out of 5 stars,137.95
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,Pauline Cullen,Paperback,4.4 out of 5 stars,399.00
General Knowledge 2022,Manohar Pandey,Paperback,4.3 out of 5 stars,98.00
Let's Crack It : Step By Step Guide for UPSC Civil Services Exam,IAS Jitin Yadav,Paperback,5.0 out of 5 stars,299.00
Indian Art and Culture ( English| 4th Edition) | UPSC | Civil Services Exam | State Administrative Exams,Nitin Singhania,Paperback,4.6 out of 5 stars,543.00
SSC CHSL (10+2) Combined Higher Secondary Tier 1 Guide 2022,Arihant Experts,Paperback,5.0 out of 5 stars,260.00
Indian Economy ( English| 2nd Edition) | UPSC | Civil Services Exam | State Administrative Exams,NITIN SINGHANIA,Paperback,4.6 out of 5 stars,532.00
Vision IAS Prelims Test Series (01 to 21) 2022 English Medium Photocopy,Paperback,Paperback,4.2 out of 5 stars,416.00
Cracking the CSAT Paper 2,Mridula Sharma,Paperback,4.4 out of 5 stars,440.00
Indian Economy ( English| 13th Edition) | UPSC | Civil Services Exam | State Administrative Exams,RAMESH SINGH,Paperback,4.4 out of 5 stars,519.00
"SURA`S TNPSC General English Study Material Books for Group 2, 2A, 4 & VAO Exam Books - Latest Edition 2022",V.V.K Subburaj,Paperback,3.7 out of 5 stars,259.00
