title,author name,type,rating,price
Harry Potter and the Philosopher's Stone,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
TINKLE DOUBLE DIGEST 8,ANANT PAI,Kindle Edition,4.5 out of 5 stars,94.50
That Night: Four Friends. Twenty Years. One Haunting Secret.,Nidhi Upadhyay,Paperback,4.3 out of 5 stars,165.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,Paperback,4.7 out of 5 stars,299.00
SUPPANDI 48 (VOL- 4): SUPERCHARGED WITH FUN & LAUGHTER,Rajani Thindiath,Kindle Edition,4.5 out of 5 stars,98.70
Tinkle Digest 22,ANANT PAI,Kindle Edition,4.2 out of 5 stars,55.65
The Love Hypothesis: Tiktok made me buy it! The romcom of the year!,Ali Hazelwood,Paperback,4.5 out of 5 stars,399.00
Suppandi Volume 7: Fire Away,Rajani Thindiath,Kindle Edition,4.5 out of 5 stars,49.00
Ghosts of The Silent Hills: Stories based on true hauntings,Anita Krishan,Paperback,4.4 out of 5 stars,169.00
Harry Potter and the Chamber of Secrets,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,293.55
Harry Potter and the Chamber of Secrets (Harry Potter 2),J.K. Rowling,Paperback,4.7 out of 5 stars,309.00
Black Holes: The Reith Lectures,Stephen Hawking,Paperback,4.5 out of 5 stars,72.00
Harry Potter and the Half-Blood Prince,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
TINKLE HOLIDAY SPECIAL NO.37,Rajani Thindiath,Kindle Edition,4.9 out of 5 stars,98.70
Harry Potter and the Deathly Hallows,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
"Before the Coffee Gets Cold: A Novel (Before the Coffee Gets Cold Series, 1)",Toshikazu Kawaguchi,Paperback,4.4 out of 5 stars,314.00
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,218.50
Tinkle Magazine No.601,Rajani Thindiath,Kindle Edition,4.1 out of 5 stars,42.00
Tinkle Digest 30,ANANT PAI,Kindle Edition,4.6 out of 5 stars,55.65
Tinkle Magazine No.600,Rajani Thindiath,Kindle Edition,4.6 out of 5 stars,42.00
Harry Potter and the Goblet of Fire,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
Harry Potter Box Set: The Complete Collection (Set of 7 Volumes),J.K. Rowling,Paperback,4.7 out of 5 stars,"2,823.00"
Harry Potter and the Order of the Phoenix,J.K. Rowling,Paperback,4.7 out of 5 stars,480.00
The Alchemist,Paulo Coelho,Kindle Edition,4.6 out of 5 stars,75.00
The Girl in the Glass Case: Keep your girls safe. Boys safer.,Devashish Sardana,Paperback,4.5 out of 5 stars,172.00
Tinkle Digest 34,ANANT PAI,Kindle Edition,4.3 out of 5 stars,55.65
Tinkle Magazine No.602,Rajani Thindiath,Kindle Edition,4.3 out of 5 stars,42.00
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Paperback,4.7 out of 5 stars,321.00
Harry Potter and the Goblet of Fire,J.K. Rowling,Paperback,4.7 out of 5 stars,429.00
1984 (AmazonClassics Edition),George Orwell,Kindle Edition,4.5 out of 5 stars,69.00
TINKLE HOLIDAY SPECIAL NO. 39,Rajani Thindiath,Kindle Edition,4.1 out of 5 stars,98.70
Tantri The Mantri -6,Rajani Thindiath,Kindle Edition,4.2 out of 5 stars,38.66
BUTTERFINGERS: TINKLE TALL TALES,Rajani Thindiath,Kindle Edition,4.4 out of 5 stars,98.70
Elizabeth Briggs,Elizabeth Briggs,Kindle Edition,-,382.00
Dark Matter: The Most Mind-Blowing And Twisted Thriller Of The Year,Blake Crouch,Paperback,4.5 out of 5 stars,314.00
ஷ்யாம் உடன் ரம்யா: 18+ (Tamil Edition),சரண்யா சத்யா,Kindle Edition,4.0 out of 5 stars,100.00
Harry Potter and the Order of the Phoenix,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
The Hobbit & The Lord of the Rings Boxed Set,J. R. R. Tolkien,Paperback,4.6 out of 5 stars,"1,048.00"
Ina Mina Mynah Mo: Tinkle Collection,Luis Fernandes,Kindle Edition,4.4 out of 5 stars,98.70
Circe: The International No. 1 Bestseller - Shortlisted for the Women's Prize for Fiction 2019,Madeline Miller,Paperback,4.5 out of 5 stars,344.00
The learned Pandit,GAYATRI MADAN DUTT,Kindle Edition,4.4 out of 5 stars,55.65
Indra and Sachi,LAKSHMI SESHADRI,Kindle Edition,4.3 out of 5 stars,55.65
Tinkle Double Digest No.127,Anant Pai,Kindle Edition,4.1 out of 5 stars,98.70
Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,Kindle Edition with Audio/Video,4.4 out of 5 stars,299.25
The Clever Dancer,JAGJIT UPPAL,Kindle Edition,4.4 out of 5 stars,70.00
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Audible Audiobook,4.7 out of 5 stars,999.00
Tinkle Digest 19,ANANT PAI,Kindle Edition,4.1 out of 5 stars,55.65
Tinkle Magazine 610,Rajani Thindiath,Kindle Edition,3.9 out of 5 stars,42.00
The Sandman,Neil Gaiman,Audible Audiobook,4.7 out of 5 stars,"1,171.00"
House of Earth and Blood (Crescent City),Sarah J. Maas,Paperback,4.7 out of 5 stars,543.00
