title,author name,type,rating,price
Atomic Habits: The life-changing million copy bestseller,James Clear,Paperback,4.6 out of 5 stars,507.00
The Psychology of Money,Morgan Housel,Paperback,4.6 out of 5 stars,252.00
"55 Questions to ask yourself, Across 8 Dimensions For A New You!",Manoj Chenthamarakshan,Kindle Edition,4.1 out of 5 stars,99.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Mass Market Paperback,4.6 out of 5 stars,296.00
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,Audible Audiobook,4.6 out of 5 stars,820.00
Word Power Made Easy,Norman Lewis,Paperback,4.4 out of 5 stars,98.00
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,Audible Audiobook,4.6 out of 5 stars,668.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,Hardcover,4.6 out of 5 stars,356.00
DO EPIC SHIT,Ankur Warikoo,Hardcover,4.5 out of 5 stars,249.00
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",Gaur Gopal Das,Paperback,4.6 out of 5 stars,137.00
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,Hardcover,4.5 out of 5 stars,324.00
How to Win Friends and Influence People,Dale Carnegie,Paperback,4.5 out of 5 stars,99.00
"THINK STRAIGHT: Change Your Thoughts, Change Your Life",Darius Foroux,Kindle Edition,4.2 out of 5 stars,99.00
"Do It Today: Overcome Procrastination, Improve Productivity, and Achieve More Meaningful Things",Darius Foroux,Kindle Edition,4.5 out of 5 stars,99.00
Speak English: Beginner's Guide to Everyday Conversation,Yogesh Vermani,Kindle Edition,3.9 out of 5 stars,99.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,Paperback,4.5 out of 5 stars,160.00
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,Paperback,4.7 out of 5 stars,150.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,Paperback,4.5 out of 5 stars,289.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Paperback,4.5 out of 5 stars,243.00
"Karma: A Yogi's Guide to Crafting Your Destiny | Spirituality, Self-improvement & Self help books by Sadhguru | Penguin",Sadhguru,Paperback,4.7 out of 5 stars,153.00
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,Audible Audiobook,4.4 out of 5 stars,837.00
The Power of Your Subconscious Mind,Joseph Murphy,Paperback,4.5 out of 5 stars,120.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,Paperback,4.5 out of 5 stars,134.00
Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert T. Kiyosaki,Paperback,4.5 out of 5 stars,187.00
The Monk Who Sold His Ferrari,Robin Sharma,Paperback,4.5 out of 5 stars,153.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Audible Audiobook,4.5 out of 5 stars,837.00
Speed Reading: How to Double (or Triple) Your Reading Speed in Just 1 Hour!,Justin Hammond,Kindle Edition,4.1 out of 5 stars,75.00
The Power of Your Subconscious Mind,Joseph Murphy,Paperback,4.5 out of 5 stars,95.00
உன் கையில் என்னை கொடுத்தேன்: Un Kaiyil Ennai Koduthen (Tamil Edition),வெண்ணிலா  ராஜன்,Kindle Edition,3.6 out of 5 stars,300.00
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,Paperback,4.4 out of 5 stars,225.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Audible Audiobook,4.5 out of 5 stars,"1,181.00"
"The 48 Laws Of Power (The Modern Machiavellian Robert Greene, 1)",Robert Greene,Paperback,4.6 out of 5 stars,458.00
You Can,George Matthew Adams,Paperback,4.5 out of 5 stars,99.00
Win Your Inner Battles: Defeat The Enemy Within and Live With Purpose,Darius Foroux,Kindle Edition,4.4 out of 5 stars,99.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,Paperback,4.6 out of 5 stars,325.00
"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,Audible Audiobook,4.5 out of 5 stars,"1,063.00"
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,Audible Audiobook,4.6 out of 5 stars,615.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,Paperback,4.5 out of 5 stars,227.00
Think & Grow Rich (Hindi),Napoleon Hill,Paperback,4.3 out of 5 stars,99.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Kindle Edition,4.6 out of 5 stars,262.20
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,Paperback,4.5 out of 5 stars,267.00
உன்னிலே நானோ!! என்னிலே நீயோ!! (Tamil Edition),உத்ரா சித்தார்த்,Kindle Edition,2.0 out of 5 stars,175.00
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,Paperback,4.3 out of 5 stars,139.00
Atomic Habits: the life-changing million-copy #1 bestseller,James Clear,Kindle Edition,4.6 out of 5 stars,204.25
Think And Grow Rich,Napoleon Hill,Paperback,4.5 out of 5 stars,43.00
Inner Engineering: A Yogi’s Guide to Joy - English,Sadhguru,Paperback,4.6 out of 5 stars,208.36
"Communication Skills Training: A Practical Guide to Improving Your Social Intelligence, Presentation, Persuasion and Public Speaking (Master Your Communication and Social Skills)",Ian Tuhovsky,Kindle Edition,4.2 out of 5 stars,299.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,Paperback,4.4 out of 5 stars,99.00
Who Will Cry When You Die?,Robin Sharma,Paperback,4.5 out of 5 stars,148.00
Mindset: Changing The Way You think To Fulfil Your Potential,Carol Dweck,Paperback,4.6 out of 5 stars,279.00
