title,author name,type,rating,price
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,Paperback,4.4 out of 5 stars,180.75
Welcome Home: A Guide to Building a Home For Your Soul,Najwa Zebian,Paperback,4.8 out of 5 stars,480.00
When Breath Becomes Air,Paul Kalanithi,Hardcover,4.6 out of 5 stars,372.00
The Ikigai Journey: A Practical Guide to Finding Happiness and Purpose Japanese Way: (SEQUEL TO Ikigai: The Japanese secret to a long and happy life),Hector Garcia,Hardcover,4.5 out of 5 stars,150.00
Mrityu: Jaanen Ek Mahayogi Se (Hindi Translation of Bestselling Title Death by Sadhguru),Sadhguru,Paperback,4.7 out of 5 stars,159.00
Light on Yoga: The Classic Guide to Yoga by the World's Foremost Authority,B.K.S. Iyengar,Paperback,4.5 out of 5 stars,290.00
Why Has Nobody Told Me This Before?: The No 1 Sunday Times bestseller,Dr Julie Smith,Paperback,4.8 out of 5 stars,601.00
MEENA,MEENA,Gift,-,
Yuktahaar: The Belly and Brain Diet,Munmun Ganeriwal,Paperback,4.4 out of 5 stars,197.00
JANVI,JANVI,Gift,-,
MEENA,MEENA,Gift,-,
The Comfort Book: The instant No.1 Sunday Times Bestseller,Matt Haig,Hardcover,4.6 out of 5 stars,455.00
MEENA,MEENA,"""3.5"""" disk""",-,
SONAN,SONAN,Gift,-,
The Dry Fasting Miracle: From Deprive to Thrive,Luke Coutinho,Paperback,4.5 out of 5 stars,171.00
Happy For No Reason,Mandira Bedi,Paperback,4.4 out of 5 stars,206.00
"Tools of Titans: The Tactics, Routines and Habits of Billionaires, Icons and World-Class Performers",Timothy Ferriss,Paperback,4.5 out of 5 stars,729.00
Yoga Anatomy,Leslie Kaminoff,Paperback,4.5 out of 5 stars,432.00
JANVI,JANVI,Gift,-,
BKS Iyengar Yoga The Path to Holistic Health: The Definitive Step-by-Step Guide,B.K.S. Iyengar,Hardcover,4.6 out of 5 stars,"1,249.00"
The Magic Weight-Loss Pill: 62 Lifestyle Changes,Luke Coutinho,Paperback,4.4 out of 5 stars,193.00
SONAN,SONAN,Gift,-,
Nutritive Value of Indian Food (Course Book),C Gopalan,Paperback,4.3 out of 5 stars,93.00
KINJAL,KINJAL,Gift,-,
Light on Pranayama,B.K.S. Iyengar,Paperback,4.5 out of 5 stars,266.00
Life Force: How New Breakthroughs in Precision Medicine Can Transform the Quality of Your Life & Those You Love,Tony Robbins,Paperback,4.8 out of 5 stars,549.00
"LOSE FAT, GET FITTR: THE SIMPLE SCIENCE OF STAYING HEALTHY FOR LIFE",Jitendra Chouksey,Paperback,4.6 out of 5 stars,179.00
SATTVIK COOKING: MODERN AVATARS OF VEDIC FOODS,Hansaji J. Yogendra,Paperback,4.5 out of 5 stars,284.00
Win Your Inner Battles,Darius Foroux,Paperback,4.4 out of 5 stars,155.22
JANVI,JANVI,Gift,-,
KINJAL,KINJAL,Gift,-,
Stolen Focus: Why You Can't Pay Attention,Johann Hari,Paperback,4.5 out of 5 stars,413.00
How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger,Paperback,4.5 out of 5 stars,379.00
"Untamed: Stop pleasing, start living: Stop Pleasing, Start Living: THE NO.1 SUNDAY TIMES BESTSELLER",Glennon Doyle,Paperback,4.5 out of 5 stars,454.00
RADHIKA,RADHIKA,Gift,-,
Mayo Clinic Guide to a Healthy Pregnancy: 2nd Edition: Fully Revised and Updated,Dr. Myra J. Wick M.D.  Ph.D.,Paperback,4.8 out of 5 stars,677.00
Sampoorn Yog Vidhya,Rajiv Jain Trilok,Paperback,4.5 out of 5 stars,262.50
JIYAN,JIYAN,Perfect Paperback,-,
"Healing Mantras: Using Sound Affirmations for Personal Power, Creativity, and Healing",Thomas Ashley-Farrand,Paperback,4.7 out of 5 stars,573.00
"Girl in Pieces: ‘A haunting, beautiful and necessary book’ Nicola Yoon, author of Everything, Everything",Kathleen Glasgow,Paperback,4.7 out of 5 stars,333.00
SUMAN,SUMAN,Gift,-,
JANVI,JANVI,Staple Bound,-,
JIYAN,JIYAN,Gift,-,
Shuggie Bain: Winner of Booker Prize 2020,Douglas Stuart,Paperback,4.4 out of 5 stars,333.00
JANVI,JANVI,Staple Bound,-,
ಇಕಿಗಾಯ್ (Kannada) Ikigai: The Japanese Secret to a Long and Happy Life by Francesc Miralles and Hector Garcia,Héctor García,Paperback,4.6 out of 5 stars,120.00
"Kama Sutra Workout: Work Hard, Play Harder with 300 Sensual Sexercises",DK,Paperback,4.4 out of 5 stars,453.00
Zen-Yoga: A Creative Psychotheraphy To Self-Integration,P.J. Saher,Hardcover,4.6 out of 5 stars,220.00
JIYAN,JIYAN,Gift,-,
The Cancer Code: A Revolutionary New Understanding of a Medical Mystery,Dr Jason Fung,Paperback,4.7 out of 5 stars,340.00
