title,author name,type,rating,price
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,Paperback,4.5 out of 5 stars,160.00
The Diary of a Young Girl,Anne Frank,Paperback,4.6 out of 5 stars,43.00
TINKLE DOUBLE DIGEST 8,ANANT PAI,Kindle Edition,4.5 out of 5 stars,94.50
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,Paperback,4.6 out of 5 stars,180.75
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,Paperback,4.5 out of 5 stars,100.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Paperback,4.7 out of 5 stars,350.00
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,Hardcover,4.5 out of 5 stars,169.00
The High-Performance Entrepreneur,Subroto Bagchi,Paperback,4.4 out of 5 stars,270.00
Pride & Prejudice,Jane Austen,Paperback,4.5 out of 5 stars,80.00
Sapiens,Yuval Noah Harari,Audible Audiobook,4.7 out of 5 stars,957.00
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,Paperback,4.5 out of 5 stars,99.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Paperback,4.5 out of 5 stars,149.00
Autobiography of a Yogi,Paramahansa Yogananda,Paperback,4.6 out of 5 stars,99.00
Wise and Otherwise: A salute to Life,Sudha Murty,Paperback,4.6 out of 5 stars,170.00
"My Life in Full: Work, Family, and Our Future (With a special Epilogue for India)",Indra K. Nooyi,Hardcover,4.6 out of 5 stars,450.00
A Brief History of Modern India (2019-2020 Edition) by  Spectrum Books,Spectrum Books Pvt.Ltd.,Paperback,4.5 out of 5 stars,352.05
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,Audible Audiobook,4.5 out of 5 stars,836.00
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,Paperback,4.3 out of 5 stars,250.00
Why I am an Atheist and Other Works,Bhagat Singh,Paperback,4.6 out of 5 stars,96.00
SUPPANDI 48 (VOL- 4): SUPERCHARGED WITH FUN & LAUGHTER,Rajani Thindiath,Kindle Edition,4.5 out of 5 stars,98.70
World's Greatest Leaders: Biographies of Inspirational Personalities For Kids,Wonder House Books,Paperback,4.4 out of 5 stars,99.00
Tinkle Digest 22,ANANT PAI,Kindle Edition,4.2 out of 5 stars,55.65
Start With Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,Simon Sinek,Paperback,4.5 out of 5 stars,325.00
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",Mitch Albom,Paperback,4.6 out of 5 stars,218.00
The Art of War,Sun Tzu,Paperback,4.3 out of 5 stars,70.00
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,Audible Audiobook,4.7 out of 5 stars,586.00
Will,Will Smith,Audible Audiobook,4.7 out of 5 stars,"1,093.00"
Zero to Billions - The Zerodha Story: An inspiring story on how a startup disrupted the Indian Stock Market (Indian Unicorns),ABHISH  B,Kindle Edition,4.4 out of 5 stars,49.00
Rosemary Crill,Rosemary Crill,Hardcover,-,
Suppandi Volume 7: Fire Away,Rajani Thindiath,Kindle Edition,4.5 out of 5 stars,49.00
"Here, There and Everywhere: Best-Loved Stories of Sudha Murty",Murty Sudha,Paperback,4.7 out of 5 stars,175.00
"Bose: The Untold Story of an Inconvenient Nationalist | Subhas Chandra Bose Biography | Penguin Books, Indian History",Chandrachur Ghose,Hardcover,4.9 out of 5 stars,542.00
The Monk Who Transformed UTTAR PRADESH,Shantanu Gupta,Paperback,4.7 out of 5 stars,299.00
The Origin of Species,Charles Darwin,Paperback,4.5 out of 5 stars,141.00
The Great Gatsby,F. Scott Fitzgerald,Paperback,4.4 out of 5 stars,99.00
The Subtle Art of Not Giving a F*ck December 2018,Paperback,Paperback,4.5 out of 5 stars,140.00
World's Greatest Entrepreneurs: Biographies of Inspirational Personalities For Kids,Wonder House Books,Paperback,4.4 out of 5 stars,99.00
TINKLE HOLIDAY SPECIAL NO.37,Rajani Thindiath,Kindle Edition,4.9 out of 5 stars,98.70
Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,Paperback,4.6 out of 5 stars,336.00
One Up On Wall Street: How to Use What You Already Know to Make Money in the Market,Lynch,Paperback,4.5 out of 5 stars,409.00
Mafia Queens of Mumbai,Radhika Apte,Audible Audiobook,4.3 out of 5 stars,376.00
India's Struggle for Independence: 1857-1947,Bipan Chandra,Paperback,4.5 out of 5 stars,248.00
Tinkle Magazine No.601,Rajani Thindiath,Kindle Edition,4.1 out of 5 stars,42.00
Tinkle Digest 30,ANANT PAI,Kindle Edition,4.6 out of 5 stars,55.65
Tinkle Magazine No.600,Rajani Thindiath,Kindle Edition,4.6 out of 5 stars,42.00
A Brief History Of Time: From Big Bang To Black Holes,Stephen Hawking,Paperback,4.6 out of 5 stars,271.00
World's Greatest Scientists & Inventors: Biographies of Inspirational Personalities For Kids,Wonder House Books,Paperback,4.5 out of 5 stars,99.00
"The Room on the Roof: An award-winning novel by Ruskin Bond, first book in the famous Rusty series, a must-read illustrated classic",Ruskin Bond,Paperback,4.6 out of 5 stars,154.00
Inner Engineering/इनर इंजीनियरिंग : आनंदमय जीवन के सूत्र: A Yogi's Guide to Joy,सद्गुरु,Paperback,4.5 out of 5 stars,155.22
The Republic,Plato,Paperback,4.4 out of 5 stars,139.00
