title,author name,type,rating,price
Constitution of India Bare Act with Short Notes ( Handbook in English ) 2021,BARE ACT,Perfect Paperback,4.6 out of 5 stars,117.00
Avtar Singh's Law of Contract & Specific Relief by Rajesh Kapoor latest 2022 13th edition,Rajesh Kapoor,Paperback,4.6 out of 5 stars,574.00
Guide To Clat & LL.B. Entrance Examination 2022: Vol. 1,LEXIS NEXIS TEAM,Paperback,4.2 out of 5 stars,685.00
"Universal’s Combo of 9 Bare Acts IPC, CrPC, CPC, Constitution of India, Evidence Act, Limitation Act, Contract Act, Specific Relief Act and Transfer of Property Act 2022 Edition",Universal,Paperback,3.8 out of 5 stars,825.00
THE CASES THAT INDIA FORGOT,Chintan Chandrachud,Paperback,4.6 out of 5 stars,194.00
The Silent Coup: A History of India's Deep State,Josy Joseph,Hardcover,4.6 out of 5 stars,510.00
Criminal Procedure R.V Kelkar's,K.N Chandrasekharan Pillai,Paperback,4.3 out of 5 stars,615.00
Law Of Torts With Consumer Protection Act,R.K BANGIA,Paperback,4.4 out of 5 stars,419.00
Taxmann's CRACKER for Setting Up of Business Entities & Closure – The Most Updated & Amended Book for Past Exam Questions of CS Executive | June 2022 Exams,CS N.S. Zad,Paperback,5.0 out of 5 stars,330.00
Legal Eagles: Stories of the Top Seven Indian Lawyers,Indu Bhan,Hardcover,4.4 out of 5 stars,254.00
Introduction to the Constitution of India - 25/edition,D D Basu,Paperback,4.4 out of 5 stars,340.00
Dr. R.K. Sinha's The Transfer Of Property Act - Twenty First edition(2021) published by Central Law Agency,Dr. R.K. Sinha,Paperback,4.5 out of 5 stars,424.00
JUSTICE FOR THE JUDGE: AN AUTOBIOGRAPHY,Ranjan Gogoi,Hardcover,4.4 out of 5 stars,419.00
Law Relating To Intellectual Property Rights,V K Ahuja,Paperback,4.5 out of 5 stars,539.00
V.S Datey,V.S Datey,Paperback,-,"1,500.00"
CA Pankaj Garg,CA Pankaj Garg,Paperback,-,586.00
Contract Paper II,R.K. Bangia,Paperback,4.5 out of 5 stars,300.00
