title,author name,type,rating,price
50 Greatest Short Stories,Terry O'Brien,Kindle Edition,4.3 out of 5 stars,167.20
Harry Potter and the Philosopher's Stone,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
சுஜா  சந்திரன்,சுஜா  சந்திரன்,Kindle Edition,-,400.00
Reckless Dare: A College Romance,M.V. Kasi,Kindle Edition,4.2 out of 5 stars,199.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,Paperback,4.5 out of 5 stars,160.00
The Great Train Journey,Ruskin Bond,Kindle Edition,4.5 out of 5 stars,90.25
Fallen : Enemies to Lovers Indian Romance (The Forbidden Series Book 2),Madhuri Tamse,Kindle Edition,4.7 out of 5 stars,199.00
The Alchemist,Paulo Coelho,Paperback,4.6 out of 5 stars,227.00
As a Man Thinketh,James Allen,Paperback,4.4 out of 5 stars,59.00
Jo Bhi Kahoonga Sach Kahoonga,Ajeet Bharti,Paperback,5.0 out of 5 stars,195.00
7 Secrets of Shiva,Devdutt Pattanaik,Kindle Edition,4.4 out of 5 stars,160.55
Rumi's Little Book of Life,Rumi,Kindle Edition,4.5 out of 5 stars,162.45
It Ends With Us: A Novel: Volume 1,Colleen Hoover,Paperback,4.6 out of 5 stars,210.00
முரண் கவிதை நீயடா(டி): Muran kavithai neeyada (di) (Tamil Edition),ராணா ரகுபதி ,Kindle Edition,4.2 out of 5 stars,200.00
TINKLE DOUBLE DIGEST 8,ANANT PAI,Kindle Edition,4.5 out of 5 stars,94.50
Great Stories for Children,Ruskin Bond,Paperback,4.5 out of 5 stars,135.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,Paperback,4.6 out of 5 stars,180.75
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",Alex Michaelides,Paperback,4.5 out of 5 stars,258.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,Paperback,4.5 out of 5 stars,100.00
Nesam Thaangumo Nenjam (Tamil Edition),Infaa Alocious,Kindle Edition,4.7 out of 5 stars,418.95
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,Paperback,4.4 out of 5 stars,487.00
The Girl Who Lived: A Thrilling Suspense Novel,Christopher Greyson,Kindle Edition,4.3 out of 5 stars,449.00
Ugly Love: A Novel,Colleen Hoover,Paperback,4.5 out of 5 stars,151.05
108 Panchatantra Stories (Illustrated) for children,Maple Press,Paperback,4.4 out of 5 stars,90.00
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,Paperback,4.5 out of 5 stars,139.00
Wuthering Heights,Emily Brontë,Paperback,4.5 out of 5 stars,90.00
400 Days,Chetan Bhagat,Paperback,4.4 out of 5 stars,135.00
உன்னிலே நானோ!! என்னிலே நீயோ!! (Tamil Edition),உத்ரா சித்தார்த்,Kindle Edition,2.0 out of 5 stars,175.00
Pride & Prejudice,Jane Austen,Paperback,4.5 out of 5 stars,80.00
காதல் போதை தந்த கள்ளி (Tamil Edition),தேன் நிலா  J,Kindle Edition,4.7 out of 5 stars,350.00
My Sister’s Boss: A Billionaire Office Romance,P.G. Van,Kindle Edition,4.2 out of 5 stars,199.00
Think And Grow Rich,Napoleon Hill,Paperback,4.5 out of 5 stars,43.00
Treasure Island,Robert Louis Stevenson,Paperback,4.3 out of 5 stars,89.00
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,Paperback,4.6 out of 5 stars,222.00
Wise and Otherwise: A salute to Life,Sudha Murty,Paperback,4.6 out of 5 stars,170.00
ஓநாயும் ஆட்டுக்குட்டியும் (Tamil Edition),SANAGEETH NOVELS,Kindle Edition,4.1 out of 5 stars,150.00
Puthithai Pirantheaney... (Tamil Edition),Infaa Alocious,Kindle Edition,5.0 out of 5 stars,261.45
400 Days,Chetan Bhagat,Kindle Edition,4.4 out of 5 stars,103.55
Feel My Love: A Valentine Romance,Madhuri Tamse,Kindle Edition,4.4 out of 5 stars,99.00
We Begin at the End: Crime Novel of the Year Award Winner 2021,Chris Whitaker,Kindle Edition,4.4 out of 5 stars,359.35
THE POWER OF YOUR SUBCONSCIOUS MIND,Joseph Murphy,Paperback,4.5 out of 5 stars,94.00
Jeevan Neeyamma (Tamil Edition),Vanisha -,Kindle Edition,4.4 out of 5 stars,300.00
November 9: A Novel,Colleen Hoover,Paperback,4.5 out of 5 stars,131.00
That Night: Four Friends. Twenty Years. One Haunting Secret.,Nidhi Upadhyay,Paperback,4.3 out of 5 stars,165.00
அர்ஜுனஜாலம் (Tamil Edition),Rakshika Raveendrarajah,Kindle Edition,5.0 out of 5 stars,230.00
One Arranged Murder,Chetan Bhagat,Paperback,4.4 out of 5 stars,146.00
Reminders of Him: A Novel,Colleen Hoover,Paperback,4.7 out of 5 stars,233.00
World’s Greatest Classics (Box Set of 4 Books),"Jane Austen F. Scott Fitzgerald, Oscar Wilde, Emily Brontë",Paperback,4.6 out of 5 stars,379.00
Coffee Can Investing: The Low Risk Road to Stupendous Wealth,Saurabh Mukherjea,Hardcover,4.5 out of 5 stars,345.82
Harry Potter and the Philosopher's Stone,J.K. Rowling,Paperback,4.7 out of 5 stars,299.00
