title,author name,type,rating,price
Target High 6th Premium Edition,MUTHUVENKATACHALAM S.,Paperback,4.5 out of 5 stars,600.00
"First Aid for the USMLE Step 1 2022, Thirty Second Edition",Tao Le,Paperback,4.5 out of 5 stars,"2,350.00"
Textbook of Pathology - 8th Edition + Pathology Quick Review,Harsh Mohan,Paperback,4.4 out of 5 stars,"1,883.00"
Essentials of Medical Pharmacology,K. D. Tripathi,Hardcover,4.6 out of 5 stars,"1,325.00"
Bd Chaurasias Handbook Of General Anatomy 6Ed (Pb 2020),CHAURASIA B.D.,Paperback,4.6 out of 5 stars,214.00
Essentials of Medical Microbiology: (Revised Edition),Sastry Apurba S,Paperback,4.5 out of 5 stars,"1,260.00"
"Guyton & Hall Textbook Of Medical Physiology, 3E-South Asia Edition: Third South Asian Edition",Vaz,Paperback,4.5 out of 5 stars,"1,586.00"
"Pharmacology For Medical Graduates, 4Th Updated Edition",Tara Shanbhag,Paperback,4.5 out of 5 stars,668.00
DRUG DOSAGES IN CHILDREN 10ED (PB 2020),SINGH M,Paperback,4.4 out of 5 stars,237.00
Civil Engineering Through Objective Type Questions 3Ed (Revised And Enlarged) (Pb 2019),Gupta S. P.,Paperback,4.3 out of 5 stars,276.00
Textbook Of Biochemistry For Medical Students,DM. Vasudevan,Paperback,4.6 out of 5 stars,"1,282.00"
Comprehensive Ophthalmology 8th Edition 2022 by AK Khurana,"AK Khurana,",Perfect Paperback,5.0 out of 5 stars,"1,279.00"
"Harrison's Principles of Internal Medicine, Twentieth Edition (Vol.1 & Vol.2) 20th Edition: - Volume I & Volume II",J. Larry Jameson,Hardcover,4.7 out of 5 stars,"3,519.00"
Why Has Nobody Told Me This Before?: The No 1 Sunday Times bestseller,Dr Julie Smith,Paperback,4.8 out of 5 stars,601.00
Hutchison's Clinical Methods: An Integrated Approach to Clinical Practice,Glynn,Paperback,4.6 out of 5 stars,999.00
"Davidson's Principles and Practice of Medicine, International Edition",Walker,Paperback,4.6 out of 5 stars,"1,810.00"
"Bailey & Love's Short Practice Of Surgery, 27Th Edition: International Student's Edition (Set Volume 1 & 2)",Norman Williams,Paperback,4.4 out of 5 stars,"2,449.00"
Chikitsa Guide For General Medical Practitioners,Kailash Banjara,Paperback,4.2 out of 5 stars,375.00
B D Chaurasia's Human Anatomy 4 Volume Set ( Vol.1 to Vol 4) with Handbook of General Anatomy (Set of 5 Books),B D Chaurasia,Paperback,4.6 out of 5 stars,"2,200.00"
Inderbir Singh’S Textbook Of Human Histology With Colour Atlas And Practical Guide,Pushpalatha K,Paperback,4.6 out of 5 stars,670.00
Yuktahaar: The Belly and Brain Diet,Munmun Ganeriwal,Paperback,4.4 out of 5 stars,197.00
DC Dutta’s Textbook of Gynecology,Hiralal Konar,Paperback,4.5 out of 5 stars,897.00
"Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4  (Paperback, BD Chaurasia's)",BD Chaurasia,Paperback,4.6 out of 5 stars,"1,095.00"
Ghai Essential Pediatrics 9Ed (Hb 2019),PAUL V K,Hardcover,4.6 out of 5 stars,830.00
Psychology | Fifth Edition | By Pearson,Baron/Misra,Paperback,4.5 out of 5 stars,610.00
Kiran Sethi,Kiran Sethi,Paperback,-,209.00
Ross And Wilson Anatomy And Physiology In Health And Illness 13Ed (Ie) (Pb 2018),WAUGH A.,Paperback,4.5 out of 5 stars,883.00
"AIIMS Protocols in Neonatology, 2/e 2019 2 Vol. set",Agarwal,Paperback,4.5 out of 5 stars,999.00
Dietetics - Multi Colour Edition,B Srilakshmi,Paperback,4.5 out of 5 stars,314.22
ATLAS OF HUMAN ANATOMY 7ED (IE) (PB 2019),NETTER,Paperback,4.6 out of 5 stars,"1,285.00"
The Brain: The Story of You,David Eagleman,Paperback,4.6 out of 5 stars,338.00
Essential Orthopaedics (Including Clinical Methods),J Maheshwari,Paperback,4.6 out of 5 stars,699.00
Sleep Your Way to Success,Dinesh Ghodke,Paperback,4.7 out of 5 stars,369.00
D.PHARMA 1ST YEAR BOOKS PACK OF 5 SUBJECTS.SOCIAL PHARMACY.PHARMACEUTICS.HUMAN ANATOMY & PHYSIOLOGY.PHARMACEUTICAL CHEMISTRY.PHARMACOGNOSY ( AS-PER NEW SYLLABUS ER-2020 PCI)2022 EDITION,K.SHIVA PRASAD,Paperback,4.6 out of 5 stars,699.00
"Boericke's New Manual of Homeopathic Materia Medica with Repertory:Third Revised & Augmented Edition Based on Ninth Edition: Including Indian Drugs, ... Affinites & List of Abbreviation: 3rd Edition",Garth W. Boericke,Hardcover,4.5 out of 5 stars,449.00
