title,author name,type,rating,price
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,Paperback,4.5 out of 5 stars,160.00
"India that is Bharat: Coloniality, Civilisation, Constitution",J Sai Deepak,Hardcover,4.8 out of 5 stars,507.00
"The 48 Laws Of Power (The Modern Machiavellian Robert Greene, 1)",Robert Greene,Paperback,4.6 out of 5 stars,458.00
Why I am an Atheist and Other Works,Bhagat Singh,Paperback,4.6 out of 5 stars,96.00
Start With Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,Simon Sinek,Paperback,4.5 out of 5 stars,325.00
1984,George Orwell,Paperback,4.5 out of 5 stars,99.00
The Communist Manifesto,Karl Marx,Paperback,4.5 out of 5 stars,70.00
"Bose: The Untold Story of an Inconvenient Nationalist | Subhas Chandra Bose Biography | Penguin Books, Indian History",Chandrachur Ghose,Hardcover,4.9 out of 5 stars,542.00
Nationalism,Rabindranath Tagore,Paperback,4.5 out of 5 stars,70.00
The Laws of Human Nature,Robert Greene,Paperback,4.6 out of 5 stars,480.00
"The Room on the Roof: An award-winning novel by Ruskin Bond, first book in the famous Rusty series, a must-read illustrated classic",Ruskin Bond,Paperback,4.6 out of 5 stars,154.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,Kindle Edition,4.5 out of 5 stars,89.92
21 Lessons for the 21st Century,Yuval Noah Harari,Paperback,4.6 out of 5 stars,377.00
Ambedkar's India,B.R.Ambedkar,Paperback,4.6 out of 5 stars,96.00
"India, that is Bharat: Coloniality, Civilisation, Constitution",J Sai Deepak,Kindle Edition,4.8 out of 5 stars,279.50
Why I Killed Gandhi,Nathuram Vinayak  Godse,Kindle Edition,4.1 out of 5 stars,35.40
The Wealth of Nations,Adam Smith,Paperback,4.5 out of 5 stars,249.00
"The Politics: Aristotle's philosophy on ""Man"" as a ""political animal""",Aristotle,Paperback,4.5 out of 5 stars,99.00
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,Paperback,4.6 out of 5 stars,345.00
India After Gandhi: The History of the World's Largest Democracy,Ramachandra Guha,Paperback,4.6 out of 5 stars,525.00
"Savarkar (Part 1): Echoes from a Forgotten Past, 1883–1924",Vikram Sampath,Hardcover,4.8 out of 5 stars,781.35
Becoming: The Sunday Times Number One Bestseller,Michelle Obama,Paperback,4.6 out of 5 stars,442.00
The New BJP: Modi and the Making of the World's Largest Political Party: The Remaking of the World's Largest Political Party,Nalin Mehta,Hardcover,4.7 out of 5 stars,643.00
48 Laws of Power,Robert Greene,Audible Audiobook,4.6 out of 5 stars,820.00
Whole Numbers and Half Truths: What Data Can and Cannot Tell Us About Modern India,Rukmini S,Hardcover,4.6 out of 5 stars,629.00
21 Lessons for the 21st Century,Yuval Noah Harari,Audible Audiobook,4.6 out of 5 stars,957.00
My Journey: Transforming Dreams into Actions,A.P.J. Abdul Kalam,Paperback,4.6 out of 5 stars,136.00
Jugalbandi: The BJP Before Modi | must-read book on Indian politics & government,Vinay Sitapati,Hardcover,4.5 out of 5 stars,239.00
Savarkar: Ek Bhule-Bisre Ateet Ki Goonj 1883-1924,Vikram Sampath,Paperback,4.7 out of 5 stars,259.00
"Savarkar (Part 2): A Contested Legacy, 1924-1966: A Contested Legacy, 1924-1966 | Penguin Books on Indian History & Politics | Non-fiction",Vikram Sampath,Hardcover,4.8 out of 5 stars,719.00
"1984, Animal Farm (Set of 2 Books)",George Orwell,Paperback,4.6 out of 5 stars,149.00
1991: How P. V. Narasimha Rao Made History,Sanjaya Baru,Kindle Edition,4.2 out of 5 stars,393.75
A Promised Land,Barack Obama,Audible Audiobook,4.7 out of 5 stars,"1,708.00"
Prisoners of Geography: Ten Maps That Tell You Everything You Need To Know About Global Politics,Tim Marshall,Paperback,4.6 out of 5 stars,410.00
Start with Why: How Great Leaders Inspire Everyone To Take Action,Simon Sinek,Audible Audiobook,4.5 out of 5 stars,888.00
The Autobiography of Benjamin Franklin,Benjamin Franklin,Paperback,4.4 out of 5 stars,99.00
Ek Yogi Jisne Badla Uttar Pradesh,Shantanu Gupta,Paperback,5.0 out of 5 stars,299.00
The Nutmeg's Curse: Parables for a Planet in Crisis,Amitav Ghosh,Hardcover,4.7 out of 5 stars,300.00
Your Prime Minister is Dead,Anuj Dhar,Paperback,4.6 out of 5 stars,260.00
100 World's Greatest Speeches,Various,Paperback,4.4 out of 5 stars,149.00
The India Way: Strategies for an Uncertain World,S. Jaishankar,Hardcover,4.5 out of 5 stars,401.00
India Since Independence,Bipan Chandra,Paperback,4.5 out of 5 stars,314.00
An Era of Darkness: The British Empire in India,Shashi Tharoor,Hardcover,4.5 out of 5 stars,500.00
"The Comrades And The Mullahs: China, Afghanistan and the New Asian Geopolitics",Stanly Johny,Hardcover,4.0 out of 5 stars,419.00
Conundrum,Chandrachur Ghose & Anuj Dhar,Paperback,4.8 out of 5 stars,653.00
"The Anarchy: The East India Company, Corporate Violence, and the Pillage of an Empire",William Dalrymple,Hardcover,4.6 out of 5 stars,516.00
Nehru and Bose: Parallel Lives,Rudrangshu Mukherjee,Paperback,4.4 out of 5 stars,273.00
Invisible Women: the Sunday Times number one bestseller exposing the gender bias women face every day,Caroline Criado Perez,Paperback,4.7 out of 5 stars,413.31
Urban Naxals: The Making Of Buddha In A Traffic Jam,Vivek Agnihotri,Paperback,4.6 out of 5 stars,299.00
Long Walk To Freedom,Nelson Mandela,Paperback,4.6 out of 5 stars,471.00
