title,author name,type,rating,price
சுஜா  சந்திரன்,சுஜா  சந்திரன்,Kindle Edition,-,400.00
Reckless Dare: A College Romance,M.V. Kasi,Kindle Edition,4.2 out of 5 stars,199.00
Fallen : Enemies to Lovers Indian Romance (The Forbidden Series Book 2),Madhuri Tamse,Kindle Edition,4.7 out of 5 stars,199.00
It Ends With Us: A Novel: Volume 1,Colleen Hoover,Paperback,4.6 out of 5 stars,210.00
முரண் கவிதை நீயடா(டி): Muran kavithai neeyada (di) (Tamil Edition),ராணா ரகுபதி ,Kindle Edition,4.2 out of 5 stars,200.00
Nesam Thaangumo Nenjam (Tamil Edition),Infaa Alocious,Kindle Edition,4.7 out of 5 stars,418.95
Ugly Love: A Novel,Colleen Hoover,Paperback,4.5 out of 5 stars,151.05
400 Days,Chetan Bhagat,Paperback,4.4 out of 5 stars,135.00
காதல் போதை தந்த கள்ளி (Tamil Edition),தேன் நிலா  J,Kindle Edition,4.7 out of 5 stars,350.00
My Sister’s Boss: A Billionaire Office Romance,P.G. Van,Kindle Edition,4.2 out of 5 stars,199.00
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,Paperback,4.6 out of 5 stars,222.00
Puthithai Pirantheaney... (Tamil Edition),Infaa Alocious,Kindle Edition,5.0 out of 5 stars,261.45
400 Days,Chetan Bhagat,Kindle Edition,4.4 out of 5 stars,103.55
Feel My Love: A Valentine Romance,Madhuri Tamse,Kindle Edition,4.4 out of 5 stars,99.00
Jeevan Neeyamma (Tamil Edition),Vanisha -,Kindle Edition,4.4 out of 5 stars,300.00
November 9: A Novel,Colleen Hoover,Paperback,4.5 out of 5 stars,131.00
One Arranged Murder,Chetan Bhagat,Paperback,4.4 out of 5 stars,146.00
Reminders of Him: A Novel,Colleen Hoover,Paperback,4.7 out of 5 stars,233.00
உருகாதோ எந்தன் உள்ளம்..! (Tamil Edition),எஸ் ஜோவிதா,Kindle Edition,4.2 out of 5 stars,120.00
Ramani Chandran,Ramani Chandran,Kindle Edition,-,300.00
ராக மோக செந்தேனே: Raga Moga Senthene (Tamil Edition),Nethra நேத்ரா,Kindle Edition,4.0 out of 5 stars,449.00
Forever Yours - A Novel in Three Parts,Shilpa Suraj,Kindle Edition,4.6 out of 5 stars,199.00
You Only Live Once: One for Passion Two for Love Three for Friendship,Stuti Changle,Paperback,4.4 out of 5 stars,170.00
The Love Hypothesis: Tiktok made me buy it! The romcom of the year!,Ali Hazelwood,Paperback,4.5 out of 5 stars,399.00
Kaatril Engum Un Vaasam (Tamil Edition),Vishwa Poomi,Kindle Edition,4.4 out of 5 stars,299.00
Life is What You Make It,Preeti Shenoy,Paperback,4.3 out of 5 stars,109.00
Forbidden: Enemies to Lovers Indian Romance (The Forbidden Series Book 1),Madhuri Tamse,Kindle Edition,4.4 out of 5 stars,199.00
A Touch of Eternity,Datta Durjoy,Paperback,4.3 out of 5 stars,119.00
முத்தே என் முத்தாரமே ...! Muthe en mutharame...! (Tamil Edition),Jefri Mufi,Kindle Edition,4.7 out of 5 stars,299.00
"One Day, Life Will Change: A story of love and inspiration to win life when it hits you hard . . .",Saranya Umakanthan,Paperback,4.5 out of 5 stars,139.00
"Here, There and Everywhere: Best-Loved Stories of Sudha Murty",Murty Sudha,Paperback,4.7 out of 5 stars,175.00
உன் மடி சாயவா (Tamil Edition),Ammu Yoga,Kindle Edition,4.1 out of 5 stars,449.00
என் விழிகளின் அமுதமழை நீ (Tamil Edition),Sagee Elumalai ,Kindle Edition,4.4 out of 5 stars,372.00
Just You: Love you until forever,Bhavna Goyal,Kindle Edition,4.2 out of 5 stars,99.00
Empire of Hate: A Second Chance Enemies to Lovers Romance,Rina Kent,Kindle Edition,4.6 out of 5 stars,378.00
Hard To Forget (Sisters Series Book 1),Varsha Dixit,Kindle Edition,4.3 out of 5 stars,199.00
One Arranged Murder,Chetan Bhagat,Kindle Edition,4.4 out of 5 stars,99.75
She Stole My Heart: An Office Romance,Madhuri Tamse,Kindle Edition,4.6 out of 5 stars,159.00
The Hating Game: A Novel,Sally Thorne,Paperback,4.3 out of 5 stars,363.00
Vanavillae ennai vallaiththenadi (Tamil Edition),JI YA      ,Kindle Edition,4.2 out of 5 stars,350.00
Bound by Hatred: A Billionaire Enemy Romance (Singham Bloodlines #2),M.V. Kasi,Kindle Edition,4.3 out of 5 stars,199.00
நெஞ்சில் மாமழை!: A novella (Tamil Edition),Madhu_ Dr_cool,Kindle Edition,4.7 out of 5 stars,150.00
The Fault in our Stars,John Green,Paperback,4.6 out of 5 stars,271.00
Pride and Prejudice (AmazonClassics Edition),Jane Austen,Kindle Edition,4.5 out of 5 stars,99.75
You are the Best Wife: A True Love Story,Ajay K Pandey,Paperback,4.5 out of 5 stars,96.00
ஆசை கொண்டேன் ஆலம்பனா: Aasai goanden aalambanaa (Tamil Edition),சுஜா  சந்திரன் ,Kindle Edition,4.2 out of 5 stars,300.00
A Ticking Time Boss (New York Billionaires Book 4),Olivia Hayle,Kindle Edition,4.5 out of 5 stars,299.00
அனல் தீண்டிய ஆருயிரே..! (Tamil Edition),Aruna  V,Kindle Edition,4.3 out of 5 stars,420.00
The Girl in Room 105,Chetan Bhagat,Paperback,4.4 out of 5 stars,115.00
Billionaire Escort: A Mistaken Identity Romance,M.V. Kasi,Kindle Edition,4.1 out of 5 stars,99.00
