title,author name,type,rating,price
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Paperback,4.5 out of 5 stars,149.00
Fast Track Objective Arithmetic,Rajesh Verma,Paperback,4.4 out of 5 stars,283.00
Bd Chaurasias Handbook Of General Anatomy 6Ed (Pb 2020),CHAURASIA B.D.,Paperback,4.6 out of 5 stars,214.00
Black Holes: The Reith Lectures,Stephen Hawking,Paperback,4.5 out of 5 stars,72.00
Handbook of Chemistry,Arihant Experts,Paperback,4.4 out of 5 stars,207.00
A Brief History Of Time: From Big Bang To Black Holes,Stephen Hawking,Paperback,4.6 out of 5 stars,271.00
"Vedic Mathematics Made Easy, 2nd Edition",Dhaval Bathia,Paperback,4.3 out of 5 stars,158.00
Combo: Csir-Jrf-Net: Life Sciences Fundamentals And Practice Part 1 & Part 2,Pranav Kumar,Paperback,4.5 out of 5 stars,598.00
J. L. Miralles i Garcia,J. L. Miralles i Garcia,Hardcover,-,"36,130.00"
"A Short History Of Nearly Everything (Re-Issue) (Bryson) (Bryson, 5)",Bill Bryson,Paperback,4.6 out of 5 stars,393.00
UNIDO,UNIDO,Hardcover,-,"29,782.00"
"Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4  (Paperback, BD Chaurasia's)",BD Chaurasia,Paperback,4.6 out of 5 stars,"1,095.00"
Skills in Mathematics - Play with Graphs for JEE Main and Advanced,Amit M Agarwal,Paperback,4.5 out of 5 stars,159.00
Higher Engineering Mathematics,B. S. Grewal,Paperback,4.4 out of 5 stars,780.00
MATHEMATICS EXEMPLAR CLASS X,NCERT,Paperback,4.5 out of 5 stars,80.00
The Art of Statistics: Learning from Data (Pelican Books),David Spiegelhalter,Paperback,4.5 out of 5 stars,397.00
Know Your State West Bengal,Goutam Chakraborty & Madhumita Pattrea,Paperback,4.4 out of 5 stars,182.00
"Guns, Germs And Steel: 20th Anniversary Edition",Jared Diamond,Paperback,4.5 out of 5 stars,386.00
Surely you're Joking Mr Feynman: Adventures of a Curious Character,Richard P Feynman,Paperback,4.6 out of 5 stars,403.00
Activity Book for Kids - Maths for Age 6+,Maple Press,Paperback,4.8 out of 5 stars,90.00
"The Biology of Belief: Unleashing the Power of Consciousness, Matter and Miracles",Bruce Lipton,Paperback,4.4 out of 5 stars,247.00
Pathfinder Academy : Csir-Jrf-Net Life Sciences Book Combo Set With Ecology,Pranav Kumar & Usha Mina,Paperback,4.5 out of 5 stars,"1,822.00"
The Interpretation of Dreams: Freud's Seminal Work in Understanding the Human Mind,Sigmund Freud,Paperback,4.4 out of 5 stars,150.00
Inderbir Singh’s HUMAN EMBRYOLOGY,V Subhadra Devi,Paperback,4.6 out of 5 stars,770.00
Immune: The new book from Kurzgesagt - a gorgeously illustrated deep dive into the immune system,Philipp Dettmer,Hardcover,4.8 out of 5 stars,796.00
Understanding Physics for JEE Main and Advanced Electricity and Magnetism,DC Pandey,Paperback,4.6 out of 5 stars,345.00
"Ananthanarayan and Paniker's Textbook of Microbiology, Eleventh Edition",R Ananthanarayan and CK Jayaram Paniker,Paperback,4.5 out of 5 stars,876.00
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,Paperback,4.5 out of 5 stars,334.00
Vedic Mathematics: Sixteen Simple Mathematical Formulae from the Vedas,Jagadguru Swami Sri Bharati Krishna Tirthaji Maharaja,Paperback,4.3 out of 5 stars,105.00
