title,author name,type,rating,price
The Power of Your Subconscious Mind,Joseph Murphy,Paperback,4.5 out of 5 stars,120.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Paperback,4.7 out of 5 stars,350.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Paperback,4.5 out of 5 stars,149.00
Fast Track Objective Arithmetic,Rajesh Verma,Paperback,4.4 out of 5 stars,283.00
The Art of War,Sun Tzu,Paperback,4.3 out of 5 stars,70.00
"First Aid for the USMLE Step 1 2022, Thirty Second Edition",Tao Le,Paperback,4.5 out of 5 stars,"2,350.00"
Oxford School Atlas: India's Most Trusted Atlas 36th edition,Oxford,Paperback,4.5 out of 5 stars,285.00
Textbook of Pathology - 8th Edition + Pathology Quick Review,Harsh Mohan,Paperback,4.4 out of 5 stars,"1,883.00"
Essentials of Medical Pharmacology,K. D. Tripathi,Hardcover,4.6 out of 5 stars,"1,325.00"
"A Competitive Book Of Agriculture For Upsc, Pscs Ars/Srf/Jrf, Pre Pg & Ph.D. Entrance",Nem Raj Sunda,Paperback,4.3 out of 5 stars,200.00
Bd Chaurasias Handbook Of General Anatomy 6Ed (Pb 2020),CHAURASIA B.D.,Paperback,4.6 out of 5 stars,214.00
Black Holes: The Reith Lectures,Stephen Hawking,Paperback,4.5 out of 5 stars,72.00
Handbook of Chemistry,Arihant Experts,Paperback,4.4 out of 5 stars,207.00
A Brief History Of Time: From Big Bang To Black Holes,Stephen Hawking,Paperback,4.6 out of 5 stars,271.00
Hooked: How to Build Habit-Forming Products,Nir Eyal,Hardcover,4.6 out of 5 stars,449.00
Essentials of Medical Microbiology: (Revised Edition),Sastry Apurba S,Paperback,4.5 out of 5 stars,"1,260.00"
"Masala Lab: The Science of Indian Cooking: The Science of Indian Cooking - the bestseller on food, the definitive book for every Indian kitchen, illustrated",Krish Ashok,Paperback,4.5 out of 5 stars,276.00
"Guyton & Hall Textbook Of Medical Physiology, 3E-South Asia Edition: Third South Asian Edition",Vaz,Paperback,4.5 out of 5 stars,"1,586.00"
"Pharmacology For Medical Graduates, 4Th Updated Edition",Tara Shanbhag,Paperback,4.5 out of 5 stars,668.00
DRUG DOSAGES IN CHILDREN 10ED (PB 2020),SINGH M,Paperback,4.4 out of 5 stars,237.00
"Vedic Mathematics Made Easy, 2nd Edition",Dhaval Bathia,Paperback,4.3 out of 5 stars,158.00
21 Lessons for the 21st Century,Yuval Noah Harari,Paperback,4.6 out of 5 stars,377.00
Combo: Csir-Jrf-Net: Life Sciences Fundamentals And Practice Part 1 & Part 2,Pranav Kumar,Paperback,4.5 out of 5 stars,598.00
When Breath Becomes Air,Paul Kalanithi,Hardcover,4.6 out of 5 stars,372.00
Civil Engineering Through Objective Type Questions 3Ed (Revised And Enlarged) (Pb 2019),Gupta S. P.,Paperback,4.3 out of 5 stars,276.00
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,Audible Audiobook,4.5 out of 5 stars,820.00
Textbook Of Biochemistry For Medical Students,DM. Vasudevan,Paperback,4.6 out of 5 stars,"1,282.00"
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Kindle Edition,4.7 out of 5 stars,179.70
"Combo Pack: Lakhmir Singh Class 9 Science (Biology, Physics, Chemistry) With Free Virtual Reality Gear (2020-2021 Examination)",Manjit Kaur Lakhmir Singh,Paperback,4.4 out of 5 stars,700.00
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,Paperback,4.6 out of 5 stars,345.00
J. L. Miralles i Garcia,J. L. Miralles i Garcia,Hardcover,-,"36,130.00"
"A Short History Of Nearly Everything (Re-Issue) (Bryson) (Bryson, 5)",Bill Bryson,Paperback,4.6 out of 5 stars,393.00
Comprehensive Ophthalmology 8th Edition 2022 by AK Khurana,"AK Khurana,",Perfect Paperback,5.0 out of 5 stars,"1,279.00"
"Harrison's Principles of Internal Medicine, Twentieth Edition (Vol.1 & Vol.2) 20th Edition: - Volume I & Volume II",J. Larry Jameson,Hardcover,4.7 out of 5 stars,"3,519.00"
Encyclopedia: Planets (Space Encyclopedia),Om Books Editorial Team,Paperback,4.5 out of 5 stars,140.00
CareerCup Cracking The Pm Interview: How To Land A Product Manager Job In Technology,Gayle Laakmann McDowell,Paperback,4.5 out of 5 stars,399.00
Why Has Nobody Told Me This Before?: The No 1 Sunday Times bestseller,Dr Julie Smith,Paperback,4.8 out of 5 stars,601.00
Hutchison's Clinical Methods: An Integrated Approach to Clinical Practice,Glynn,Paperback,4.6 out of 5 stars,999.00
"Davidson's Principles and Practice of Medicine, International Edition",Walker,Paperback,4.6 out of 5 stars,"1,810.00"
"Bailey & Love's Short Practice Of Surgery, 27Th Edition: International Student's Edition (Set Volume 1 & 2)",Norman Williams,Paperback,4.4 out of 5 stars,"2,449.00"
Elon Musk: How the Billionaire CEO of SpaceX and Tesla is Shaping our Future,Ashlee Vance,Paperback,4.5 out of 5 stars,403.55
21 Lessons for the 21st Century,Yuval Noah Harari,Audible Audiobook,4.6 out of 5 stars,957.00
Chikitsa Guide For General Medical Practitioners,Kailash Banjara,Paperback,4.2 out of 5 stars,375.00
Elon Musk,Ashlee Vance,Audible Audiobook,4.5 out of 5 stars,820.00
UNIDO,UNIDO,Hardcover,-,"29,782.00"
B D Chaurasia's Human Anatomy 4 Volume Set ( Vol.1 to Vol 4) with Handbook of General Anatomy (Set of 5 Books),B D Chaurasia,Paperback,4.6 out of 5 stars,"2,200.00"
Inderbir Singh’S Textbook Of Human Histology With Colour Atlas And Practical Guide,Pushpalatha K,Paperback,4.6 out of 5 stars,670.00
Yuktahaar: The Belly and Brain Diet,Munmun Ganeriwal,Paperback,4.4 out of 5 stars,197.00
Lifespan : Why We Age – and Why We Don’t Have To: Why We Age – and Why We Don’t Have To,David A. Sinclair,Paperback,4.6 out of 5 stars,386.00
DC Dutta’s Textbook of Gynecology,Hiralal Konar,Paperback,4.5 out of 5 stars,897.00
