title,author name,type,rating,price
"The Art Of Saying NO: How To Stand Your Ground, Reclaim Your Time And Energy, And Refuse To Be Taken For Granted (Without Feeling Guilty!) (The Art Of Living Well Book 1)",Damon Zahariades,Kindle Edition,4.3 out of 5 stars,191.00
Word Power Made Easy,Norman Lewis,Paperback,4.4 out of 5 stars,98.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,Hardcover,4.6 out of 5 stars,356.00
DO EPIC SHIT,Ankur Warikoo,Hardcover,4.5 out of 5 stars,249.00
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,Hardcover,4.5 out of 5 stars,324.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,Paperback,4.5 out of 5 stars,160.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,Paperback,4.4 out of 5 stars,430.00
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,Paperback,4.7 out of 5 stars,150.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",Alex Michaelides,Paperback,4.5 out of 5 stars,258.00
"The 48 Laws Of Power (The Modern Machiavellian Robert Greene, 1)",Robert Greene,Paperback,4.6 out of 5 stars,458.00
80/20 Your Life! How To Get More Done With Less Effort And Change Your Life In The Process!,Damon Zahariades,Kindle Edition,4.3 out of 5 stars,196.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,Paperback,4.6 out of 5 stars,325.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Paperback,4.7 out of 5 stars,350.00
"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,Audible Audiobook,4.5 out of 5 stars,"1,063.00"
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,Paperback,4.3 out of 5 stars,139.00
Sapiens,Yuval Noah Harari,Audible Audiobook,4.7 out of 5 stars,957.00
Grandparents' Bag of Stories,Sudha Murty,Paperback,4.7 out of 5 stars,165.00
Mindset: Changing The Way You think To Fulfil Your Potential,Carol Dweck,Paperback,4.6 out of 5 stars,279.00
"SSB Interview: The Complete Guide, Second Edition Paperback",Dr. N.K. Natarajan,Paperback,4.4 out of 5 stars,177.00
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,Paperback,4.6 out of 5 stars,270.00
Arihant CBSE Chemistry Term 2 Class 12 for 2022 Exam (Cover Theory and MCQs),Aditya Jangid Arshdeep Kaur ,Paperback,4.4 out of 5 stars,82.00
Start With Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,Simon Sinek,Paperback,4.5 out of 5 stars,325.00
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",Mitch Albom,Paperback,4.6 out of 5 stars,218.00
General Knowledge 2022,Manohar Pandey,Paperback,4.3 out of 5 stars,98.00
