title,author name,type,rating,price
My Big Supercool Colouring Book (128 Pages): Jumbo Sized Colouring Book for Kids,Young Angels Publishing,Perfect Paperback,4.6 out of 5 stars,200.00
Colouring Books Collections by InIkao (12 Books) : Pack of 12 Copy Color Books For Kids,Rajkumar,Paperback,4.4 out of 5 stars,304.00
No Spin: My Autobiography,Shane Warne,Paperback,4.3 out of 5 stars,500.00
Yuktahaar: The Belly and Brain Diet,Munmun Ganeriwal,Paperback,4.4 out of 5 stars,197.00
Range: How Generalists Triumph in a Specialized World,David Epstein,Paperback,4.5 out of 5 stars,343.00
Yoga Anatomy,Leslie Kaminoff,Paperback,4.5 out of 5 stars,432.00
The 12-Week Fitness Project (Updated for 2021 with 12 Extra Guidelines),Rujuta Diwekar,Paperback,4.5 out of 5 stars,149.00
Open: An Autobiography,Andre Agassi,Paperback,4.7 out of 5 stars,334.00
Bobby Fischer Teaches Chess,Bobby Fischer,Mass Market Paperback,4.2 out of 5 stars,301.00
A Century is not Enough: My Roller-coaster Ride to Success,Sourav Ganguly,Hardcover,4.6 out of 5 stars,331.00
The Dhoni Touch: Unravelling the Enigma That Is Mahendra Singh Dhoni,Bharat Sundaresan,Paperback,4.6 out of 5 stars,171.00
Playing It My Way: My Autobiography,Sachin Tendulkar,Paperback,4.6 out of 5 stars,344.00
"Be Water, My Friend: The True Teachings of Bruce Lee",Shannon Lee,Hardcover,4.7 out of 5 stars,477.00
Stargazing: The Players in My Life,Ravi Shastri,Audible Audiobook,3.7 out of 5 stars,"1,519.00"
Zen and the Art of Motorcycle Maintenance: 40th Anniversary Edition,Robert Pirsig,Paperback,4.4 out of 5 stars,311.00
Man-Eaters of Kumaon,Jim Corbett,Paperback,4.6 out of 5 stars,136.50
How to Build a Car: The Autobiography of the World’s Greatest Formula 1 Designer: The Autobiography of the World’s Greatest Formula 1 Designer,Adrian Newey,Hardcover,4.7 out of 5 stars,844.00
The Inner Game of Tennis: The Ultimate Guide to the Mental Side of Peak Performance,W Timothy Gallwey,Paperback,4.6 out of 5 stars,306.00
Second Chance (Hindi Edition),Dr. Sandeep Jatwa,Kindle Edition,4.3 out of 5 stars,2.50
Range: How Generalists Triumph in a Specialized World,(Journalist) David Epstein,Kindle Edition,4.5 out of 5 stars,280.39
Mind Master: Winning Lessons From A Champion's Life,Viswanathan Anand,Hardcover,4.6 out of 5 stars,407.00
The Temple Tigers and More Man-Eaters of Kumaon,Jim Corbett,Paperback,4.7 out of 5 stars,127.00
"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,Audible Audiobook,3.9 out of 5 stars,233.00
Never Forget: The #1 bestselling novel by the master of the killer twist,Michel Bussi,Paperback,3.9 out of 5 stars,410.00
What I Talk About When I Talk About Running,Philip Gabriel,Paperback,4.4 out of 5 stars,345.00
