total,m0009,m1014,m1519,m2024,m2529,m3034,m3539,m4044,m4549,m5054,m5559,m6064,m6569,m70,w0009,w1014,w1519,w2024,w2529,w3034,w3539,w4044,w4549,w5054,w5559,w6064,w6569,w70,region,time,region_cat
278551.5745,7120.3733,3836.2671,6674.6378,11365.6313,11883.2783,9407.651,10299.2999,9337.467,11084.5591,10492.5151,10895.4099,8997.2692,6960.2413,13964.3992,6935.7195,4077.785,8734.5669,16378.4251,12798.7907,10176.84,10700.4146,9723.7619,10913.2495,10005.0306,11000.7551,9045.9923,7075.4472,18665.7935,종로구,2022-12-25 12:00:00,C
297316.9389,7413.9564,3909.1006,7579.4329,12820.0603,12942.0704,10106.7356,10686.1479,9864.8463,11249.9613,10935.8446,11072.018,9260.403,7390.5629,14803.4371,7639.2878,4432.0765,10433.4594,18830.1645,14682.7414,11176.4845,11355.3579,10384.9338,11602.3339,10586.6972,11216.4435,9374.5878,7203.727,18364.0669,종로구,2022-12-25 13:00:00,C
308836.0535,7748.843,4091.4014,8419.5381,13733.7771,13703.5504,10656.5751,10955.6401,10222.7672,11570.5364,10982.2465,11262.4882,9222.5844,7397.0905,14752.6347,8418.4275,4864.203,11861.483,20743.7337,15685.2097,11626.2969,11675.722,10661.7033,11833.4896,10609.3815,11277.2271,9424.9158,7175.2173,18259.3705,종로구,2022-12-25 14:00:00,C
309900.1544,7504.1085,3968.3345,9098.5031,14533.1511,14162.609,10698.8727,10832.0322,10073.0712,11308.3786,10830.2489,11006.243,8908.6307,7202.332,14114.364,8556.6098,4925.4632,12907.1266,22087.9136,16354.5605,11606.3284,11537.5901,10717.8883,11670.4739,10529.984,11016.1367,9087.7607,7046.5042,17614.9396,종로구,2022-12-25 15:00:00,C
304831.0853,7405.6074,3850.3482,9387.5773,14597.3279,14346.1048,10527.9961,10457.9283,9644.5165,11192.9479,10702.6886,10708.0336,8558.8791,6781.1482,13065.1458,8308.4592,4773.4388,13243.1938,22731.5836,16205.6212,11667.267,11281.1398,10362.9376,11586.6882,10208.0849,10753.3243,8767.5564,6758.3149,16957.2325,종로구,2022-12-25 16:00:00,C
293222.9916,7002.0127,3667.8689,9196.0027,14677.7097,14199.1133,10382.1661,10167.6486,9251.7646,11001.8908,10356.4891,10137.0743,8018.8119,6359.7012,11847.779,7473.6419,4309.6108,12592.3965,22622.7091,15935.0532,11279.6099,10785.1285,9847.0572,11108.2932,9719.598,10386.5698,8332.0344,6416.6496,16148.6067,종로구,2022-12-25 17:00:00,C
283159.3202,6656.0478,3556.824,9243.4584,14728.9951,14101.4401,10197.4349,10115.2028,9062.8297,10623.6963,9747.7051,9717.4181,7540.6275,5822.8154,10822.0268,7198.1356,4147.4859,12165.2167,21973.7517,15424.8298,10766.8749,10590.1014,9570.2103,10623.3314,9176.9748,10051.0654,7911.9197,6151.5227,15471.3784,종로구,2022-12-25 18:00:00,C
268063.1886,6255.2257,3385.4423,8625.398,14229.5087,13512.3742,9800.614,9596.6471,8657.4869,10091.8486,9321.0588,9278.9301,7147.8794,5401.9913,10206.7288,6392.0589,3710.5356,11075.8965,21095.4677,14474.6398,10152.651,9972.0686,8767.0521,9879.7117,8842.8395,9547.1721,7578.5375,5913.4981,15149.92,종로구,2022-12-25 19:00:00,C
249807.2238,5476.6477,3066.4166,7899.6937,13286.4089,12519.2449,9095.0968,9346.2744,8115.5871,9573.5866,9001.9215,8867.8627,6647.3637,5198.277,9692.1758,5790.0218,3383.3092,9431.4913,19041.1847,13113.3321,9267.696,9217.0086,8329.4685,9390.4641,8394.8783,8874.6525,7172.2173,5711.6849,14903.2592,종로구,2022-12-25 20:00:00,C
231180.7572,5008.5967,2907.8023,7024.2815,12213.1948,11341.7241,8317.9708,8564.184,7701.0872,8921.2344,8676.4117,8479.2569,6423.0114,4911.1545,9257.9571,5177.3337,3047.4694,7940.2326,16805.6073,11757.1982,8111.3144,8557.497,7650.3768,8880.5522,7906.6888,8577.2443,6825.9428,5461.3928,14734.0351,종로구,2022-12-25 21:00:00,C
214109.8262,4846.2785,2856.4038,5985.8118,10565.6132,9904.8026,7548.6899,8198.7341,7442.9514,8657.0695,8352.7675,8165.9144,6173.4169,4705.8746,9016.5998,4796.6895,2859.0362,6301.5898,14196.267,10181.1368,7419.3619,7937.6215,7311.9995,8477.6737,7539.3174,8193.2236,6661.6115,5265.9272,14547.4401,종로구,2022-12-25 22:00:00,C
205852.288,4836.7362,2881.4736,5488.9923,9747.9594,9036.1153,7259.2927,7995.8763,7295.6767,8641.1817,8168.4883,8049.8244,6023.9816,4490.316,8817.5126,4690.7279,2822.9898,5615.4931,12547.0089,9275.6306,6927.2108,7832.9241,7380.3456,8448.0317,7491.427,8069.8161,6572.9052,5187.6163,14256.7341,종로구,2022-12-25 23:00:00,C
248015.1985,8465.9592,3027.7138,5157.7088,9604.1584,10764.3338,9949.1134,11595.9076,10199.252,10182.1783,9139.5528,8863.6974,6912.125,5256.1967,10072.5351,6966.6831,3022.5106,6479.7167,13706.2319,11986.5846,10517.487,11772.5333,9644.7854,9445.2002,8437.7589,8710.606,7769.4384,5643.54,14721.6933,중구,2022-12-25 12:00:00,C
260569.2708,9310.77,3249.5717,6073.0215,10464.9341,11551.1201,10453.3627,12068.0825,10592.8772,10551.4294,9262.1882,9069.8277,7145.2548,5304.9906,9762.9311,7503.4192,3235.0086,7761.0917,14874.0745,13089.0751,11362.3458,12220.8255,10070.4825,9944.7997,8755.9395,8991.9125,7708.8803,5759.9881,14431.0642,중구,2022-12-25 13:00:00,C
272133.5164,9448.8939,3303.0129,6986.4571,11325.7676,12245.1046,10943.0908,12376.8876,10823.2388,10887.1027,9528.2777,9051.6542,7121.8946,5367.6046,9667.9439,8667.964,3733.6148,9543.129,16292.7562,13992.7843,11837.5747,12574.8594,10477.9878,10264.9533,8928.5256,9258.5631,7718.9112,5806.5618,13958.4017,중구,2022-12-25 14:00:00,C
282189.4532,10115.6572,3398.0119,8363.4717,12434.9294,13385.5028,11424.0267,12725.8017,10939.0131,10996.078,9438.7934,9046.9902,6882.45,5058.456,9360.0236,9761.6505,4177.4146,11053.1126,17996.4623,15089.4377,12303.5991,12870.4336,10443.8462,10439.571,8937.4688,9110.3325,7527.3298,5639.403,13270.1848,중구,2022-12-25 15:00:00,C
288430.2758,10104.4233,3380.827,9804.3546,13584.8521,13743.736,11909.5239,12698.2514,11048.3381,11015.0882,9236.3848,8758.5231,6541.0547,4985.7599,8852.418,9910.851,4227.9982,12741.4949,19821.0722,16006.0446,12742.1535,13139.3189,10463.4999,10542.6619,8827.2488,9052.804,7405.7337,5242.3089,12643.5498,중구,2022-12-25 16:00:00,C
